Transit (row) / Origin (Column) ASN-ASNAME,99999-CO
14080-Telmex Colombia S.A.,0.33798
12956-Telefonica International Wholesale S,0.18494
1299-Telia Company AB,0.13467
6453-TATA COMMUNICATIONS (AMERICA) INC,0.11225
13489-EPM Telecomunicaciones S.A. E.S.P.,0.10419
2914-NTT America Inc.,0.05788
3491-PCCW Global Inc.,0.03724
174-Cogent Communications,0.02764
3356-Level 3 Communications Inc.,0.02046
3816-COLOMBIA TELECOMUNICACIONES S.A. ESP,0.01765
6762-TELECOM ITALIA SPARKLE S.p.A.,0.0175
52320-GlobeNet Cabos Submarinos Colombia S,0.01098
52468-UFINET PANAMA S.A.,0.0103
23520-Columbus Networks USA Inc.,0.00816
262589-INTERNEXA Brasil Operadora de Teleco,0.00766
3257-GTT Communications Inc.,0.00617
3549-Level 3 Communications Inc.,0.00519
18678-INTERNEXA S.A. E.S.P,0.00514
19429-ETB - Colombia,0.00425
18747-IFX Corporation,0.00424
6830-Liberty Global Operations B.V.,0.00381
6939-Hurricane Electric Inc.,0.00336
206610-Pindo S.a.,0.00323
9002-RETN Limited,0.00303
3303-Swisscom (Switzerland) Ltd,0.00294
1239-Sprint,0.0027
5511-Orange S.A.,0.00225
10299-EMPRESAS MUNICIPALES DE CALI E.I.C.E,0.00151
1916-AssociaÃ§Ã£o Rede Nacional de En,0.00144
27845-Empresa de Recursos Tecnologicos S.A,0.00099
28513-Uninet S.A. de C.V.,0.00096
2647-Societe Internationale de Telecommun,0.00076
262191-COLUMBUS NETWORKS COLOMBIA,0.00074
262186-TV AZTECA SUCURSAL COLOMBIA,0.00073
7018-AT&T Services Inc.,0.0007
6461-Zayo Bandwidth,0.0006
263798-UFINET COLOMBIA S. A.,0.00054
262182-Media Networks Latin America SAC,0.00029
27817-Red Nacional AcadÃ©mica de Tecnolo,0.00025
22927-Telefonica de Argentina,0.00019
701-MCI Communications Services Inc. d/b,0.00018
27951-Media Commerce Partners S.A,0.00018
7087-AdministraciÃ³n de Redes Colomsat ,0.00014
6621-Hughes Network Systems,0.00013
22356-Durand do Brasil Ltda,0.00013
52280-INTERNEXA Chile S.A.,0.0001
28032-INTERNEXA PERU S.A,0.0001
27975-SYNAPSIS COLOMBIA SAS,0.0001
12200-Rackspace Hosting,0.0001
99999-CO,0.0
9304-Hutchison Global Communications,0.0
8758-Iway AG,0.0
7843-Time Warner Cable Internet LLC,0.0
7738-Telemar Norte Leste S.A.,0.0
7473-Singapore Telecommunications Ltd,0.0
7162-Universo Online S.A.,0.0
7029-Windstream Communications LLC,0.0
64657-unknown,0.0
61568-FSF TECNOLOGIA LTDA ME,0.0
58453-Level 30 Tower 1,0.0
57866-Fusix Networks B.V.,0.0
5713-Telkom SA Ltd.,0.0
56611-REBA Communications BV,0.0
43531-IX Reach Ltd,0.0
4134-No.31Jin-rong Street,0.0
41327-TechInfoTel Ltd.,0.0
38930-LeaseWeb Network B.V.,0.0
38622-Limelight Networks New Delhi,0.0
37468-Angola Cables,0.0
3741-Internet Solutions,0.0
35280-ACORUS NETWORKS SAS,0.0
33891-Core-Backbone GmbH,0.0
3361-Digital Fortress Inc.,0.0
3223-Voxility S.R.L.,0.0
3216-PJSC "Vimpelcom",0.0
3215-Orange S.A.,0.0
32098-Transtelco Inc,0.0
31424-nexellent ag,0.0
28917-LLC "TRC FIORD",0.0
26615-Tim Celular S.A.,0.0
2603-NORDUnet,0.0
25091-IP-Max SA,0.0
24961-myLoc managed IT AG,0.0
23059-Limelight Networks Inc.,0.0
22418-Cologuard,0.0
22364-Telefonica USA Inc.,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
200780-APPLIWAVE SAS,0.0
198385-AlpineDC SA,0.0
18479-Universo Online S.A.,0.0
1836-green.ch AG,0.0
1764-Next Layer Telekommunikationsdienstl,0.0
16265-LeaseWeb Network B.V.,0.0
13999-Mega Cable S.A. de C.V.,0.0
13786-Code & Theory LLC.,0.0
13765-Nedelco Inc.,0.0
12252-America Movil Peru S.A.C.,0.0
11691-Evocative Inc.,0.0
11404-vanoppen.biz LLC,0.0
11164-Internet2,0.0
11096-FloridaNet,0.0
10796-Time Warner Cable Internet LLC,0.0
2828-MCI Communications Services Inc. d/b,9e-05
33132-Fibernet Direct,8e-05
27750-CooperaciÃ³n Latino Americana de R,8e-05
2516-KDDI CORPORATION,8e-05
2497-Internet Initiative Japan Inc.,8e-05
29802-HIVELOCITY VENTURES CORP,7e-05
11830-Instituto Costarricense de Electrici,7e-05
29075-Lost Oasis SARL,6e-05
262163-CTEC SAS,6e-05
209-Qwest Communications Company LLC,6e-05
15576-NTS workspace AG,6e-05
7819-Global IP Networks INC,5e-05
42624-Simple Carrier LLC,5e-05
265826-BROADBAND BELIZE LTD,5e-05
262206-COMCEL GUATEMALA S.A.,5e-05
23148-MCI Communications Services Inc. d/b,5e-05
22822-Limelight Networks Inc.,5e-05
20764-CJSC RASCOM,5e-05
14187-BT LATAM COLOMBIA S.A.,5e-05
13030-Init7 (Switzerland) Ltd.,5e-05
11058-CABASE Camara Arg de Base de Datos y,5e-05
8455-Schuberg Philis B.V.,4e-05
60725-O3b Sales BV,4e-05
52245-UFINET PANAMA S.A.,4e-05
3320-Deutsche Telekom AG,4e-05
286-KPN B.V.,4e-05
27650-EMTEL S.A. E.S.P.,4e-05
262215-ITELKOM,4e-05
23031-Unilink Master,4e-05
20965-GEANT Limited,4e-05
1273-Vodafone Group PLC,4e-05
12129-123.Net Inc.,4e-05
10429-Telefonica Data S.A.,4e-05
8447-A1 Telekom Austria AG,3e-05
7545-TPG Telecom Limited,3e-05
40861-Paradise Networks LLC,3e-05
3267-State Institute of Information Techn,3e-05
26803-Fiber Internet Center,3e-05
22411-WIGO S.A.,3e-05
20473-Choopa LLC,3e-05
20207-Gigared S.A.,3e-05
1853-ACONET,3e-05
1257-TELE2,3e-05
10753-Level 3 Communications Inc.,3e-05
10269-Belize Telemedia Limited,3e-05
8220-COLT Technology Services Group Limit,2e-05
8218-Zayo France SAS,2e-05
6730-Sunrise Communications AG,2e-05
57717-FiberXpress BV,2e-05
35699-Adamo Telecom Iberia S.A.,2e-05
18881-TELEFÃNICA BRASIL S.A,2e-05
12180-Internap Network Services Corporatio,2e-05
11537-Internet2,2e-05
8732-OJSC Comcor,1e-05
8468-ENTANET International Limited,1e-05
7922-Comcast Cable Communications LLC,1e-05
7660-Asia Pacific Advanced Network - Japa,1e-05
7474-Optus Vision,1e-05
7049-Silica Networks Argentina S.A.,1e-05
6661-POST Luxembourg,1e-05
6568-Entel S.A. - EntelNet,1e-05
6429-Telmex Chile Internet S.A.,1e-05
62-CyrusOne LLC,1e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,1e-05
59689-Keyade SAS,1e-05
58057-TeleMontazh Ltd.,1e-05
5400-British Telecommunications plc,1e-05
52330-S3WIRELESS COLOMBIA S.A,1e-05
50304-Blix Solutions AS,1e-05
4809-China Telecom Next Generation Carrie,1e-05
4637-Telstra Global - Customer AS Number,1e-05
4230-CLARO S.A.,1e-05
398107-unknown,1e-05
3910-Qwest Communications Company LLC,1e-05
36086-Telx,1e-05
35916-MULTACOM CORPORATION,1e-05
3132-Red Cientifica Peruana,1e-05
31133-PJSC MegaFon,1e-05
30781-Jaguar Network SAS,1e-05
29838-Atlantic Metro Communications LLC,1e-05
29208-Dial Telecom a.s.,1e-05
29119-ServiHosting Networks S.L.,1e-05
28124-NETELL TELECOMUNICACOES LTDA,1e-05
28006-CORPORACION NACIONAL DE TELECOMUNICA,1e-05
27988-Servicios y Telecomunicaciones S.A.,1e-05
27978-Telmex Servicios Empresariales S.A.,1e-05
27882-TelefÃ³nica Celular de Bolivia S.A,1e-05
27837-Dialnet de Colombia S.A. E.S.P.,1e-05
267788-unknown,1e-05
266816-unknown,1e-05
26619-Flycom Comunicaciones,1e-05
26613-CORPORACION NACIONAL DE TELECOMUNICA,1e-05
26554-US Signal Company L.L.C.,1e-05
263702-ZGLOBALHOST LTDA.,1e-05
262195-Transamerican Telecomunication S.A.,1e-05
25899-LS Networks,1e-05
22724-PUNTONET S.A.,1e-05
22388-Indiana University,1e-05
22351-INTELSAT GLOBAL SERVICE CORPORATION,1e-05
21777-Massive Networks,1e-05
21575-ENTEL PERU S.A.,1e-05
21320-GEANT Limited,1e-05
209235-unknown,1e-05
20562-Broadband Hosting B.V,1e-05
20485-Closed Joint Stock Company TransTele,1e-05
19114-Otecel S.A.,1e-05
16735-ALGAR TELECOM S/A,1e-05
15412-Reliance Globalcom Limited,1e-05
15169-Google LLC,1e-05
14867-SYNAPSIS COLOMBIA SAS,1e-05
13807-GREAT PLAINS COMMUNICATIONS INC,1e-05
12552-IP-Only Networks AB,1e-05
12389-PJSC Rostelecom,1e-05
1221-Telstra Managed Network Services,1e-05
12182-Internap Network Services Corporatio,1e-05
11432-Telium TelecomunicaÃ§Ãµes Ltda,1e-05
11172-Alestra S. de R.L. de C.V.,1e-05
10835-Visionary Communications Inc.,1e-05
