Transit (row) / Origin (Column) ASN-ASNAME,99999-ML
5511-Orange S.A.,0.72287
30985-Orange Mali SA,0.13043
37662-West Indian Ocean Cable Company,0.07265
21271-The AS will be use to connect our tw,0.03008
29571-ORANGE COTE D'IVOIRE,0.01923
6774-Belgacom International Carrier Servi,0.01554
36974-MTN COTE D'IVOIRE S.A,0.01266
3356-Level 3 Communications Inc.,0.01186
37163-IPSYSTEM S.A,0.008
2914-NTT America Inc.,0.00799
328284-unknown,0.00778
6461-Zayo Bandwidth,0.00707
16637-MTN SA,0.00699
1299-Telia Company AB,0.00589
174-Cogent Communications,0.00526
3257-GTT Communications Inc.,0.00383
206610-Pindo S.a.,0.00343
328316-unknown,0.00266
9498-BHARTI Airtel Ltd.,0.00262
25543-ONATEL/FasoNet's Autonomous System O,0.0026
8473-Bahnhof Internet AB,0.00258
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00219
15570-InterNAP Network Services U.K. Limit,0.00172
6939-Hurricane Electric Inc.,0.00147
3491-PCCW Global Inc.,0.0014
58057-TeleMontazh Ltd.,0.00137
37721-unknown,0.00132
6713-Itissalat Al-MAGHRIB,0.00128
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0011
52320-GlobeNet Cabos Submarinos Colombia S,0.00102
3320-Deutsche Telekom AG,0.00096
8881-1&1 Versatel Deutschland GmbH,0.00092
36086-Telx,0.0008
5430-freenet Datenkommunikations GmbH,0.00073
6661-POST Luxembourg,0.00057
3303-Swisscom (Switzerland) Ltd,0.00057
20764-CJSC RASCOM,0.00054
8447-A1 Telekom Austria AG,0.00051
24961-myLoc managed IT AG,0.00048
8732-OJSC Comcor,0.00041
28917-LLC "TRC FIORD",0.00041
29075-Lost Oasis SARL,0.00038
202984-Chernyshov Aleksandr Aleksandrovich,0.00038
37282-Mainone Cable Company,0.00035
30781-Jaguar Network SAS,0.00029
1836-green.ch AG,0.00023
9002-RETN Limited,0.00019
25091-IP-Max SA,0.00016
13030-Init7 (Switzerland) Ltd.,0.00014
8468-ENTANET International Limited,0.00013
8218-Zayo France SAS,0.0001
3267-State Institute of Information Techn,0.0001
15412-Reliance Globalcom Limited,0.0001
99999-ML,0.0
12552-IP-Only Networks AB,8e-05
12859-BIT BV,6e-05
33891-Core-Backbone GmbH,3e-05
2852-CESNET z.s.p.o.,3e-05
2603-NORDUnet,3e-05
12874-Fastweb SpA,3e-05
