Transit (row) / Origin (Column) ASN-ASNAME,99999-NR
5666-Harris CapRock Communications Inc.,0.63492
38456-Pacific Teleports.,0.31746
4826-Vocus Communications,0.19955
5511-Orange S.A.,0.18266
6939-Hurricane Electric Inc.,0.1005
132528-Digicel Australia Pty Ltd,0.06703
4648-Spark New Zealand Trading Ltd.,0.03278
3356-Level 3 Communications Inc.,0.03145
6461-Zayo Bandwidth,0.0185
1299-Telia Company AB,0.01493
2914-NTT America Inc.,0.01444
12180-Internap Network Services Corporatio,0.01183
174-Cogent Communications,0.00785
12182-Internap Network Services Corporatio,0.00594
15412-Reliance Globalcom Limited,0.00555
58057-TeleMontazh Ltd.,0.00499
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.004
3257-GTT Communications Inc.,0.00293
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00248
36086-Telx,0.00197
24961-myLoc managed IT AG,0.00175
6830-Liberty Global Operations B.V.,0.00153
206610-Pindo S.a.,0.00105
7922-Comcast Cable Communications LLC,0.00098
9002-RETN Limited,0.00093
1836-green.ch AG,0.00083
3320-Deutsche Telekom AG,0.00058
13030-Init7 (Switzerland) Ltd.,0.00051
52320-GlobeNet Cabos Submarinos Colombia S,0.00046
4230-CLARO S.A.,0.00046
6661-POST Luxembourg,0.00035
3267-State Institute of Information Techn,0.00035
29075-Lost Oasis SARL,0.00035
21320-GEANT Limited,0.00035
8468-ENTANET International Limited,0.00023
3303-Swisscom (Switzerland) Ltd,0.00023
1853-ACONET,0.00023
6777-Amsterdam Internet Exchange B.V.,0.00012
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00012
20764-CJSC RASCOM,0.00012
99999-NR,0.0
7474-Optus Vision,4e-05
