Transit (row) / Origin (Column) ASN-ASNAME,99999-TD
42705-Talia Limited,0.1706
15706-Sudatel Telecom Group,0.13486
5511-Orange S.A.,0.13172
60725-O3b Sales BV,0.12459
174-Cogent Communications,0.10842
12491-Gilat Satcom,0.0999
3491-PCCW Global Inc.,0.05773
3356-Level 3 Communications Inc.,0.04766
39386-Saudi Telecom Company JSC,0.04434
2914-NTT America Inc.,0.04119
9498-BHARTI Airtel Ltd.,0.03374
30992-MTN Network Solutions (Cameroon),0.03198
6453-TATA COMMUNICATIONS (AMERICA) INC,0.03017
15964-CAMEROON TELECOMMUNICATIONS NETWORK,0.02569
204523-unknown,0.02304
327802-MILLICOM CHAD SA,0.02158
3257-GTT Communications Inc.,0.02098
16637-MTN SA,0.01599
328594-unknown,0.01571
1299-Telia Company AB,0.01192
37282-Mainone Cable Company,0.00978
27822-Emerging Markets Communications de A,0.00836
6939-Hurricane Electric Inc.,0.00652
3215-Orange S.A.,0.00533
37305-Frontier Optical Networks Ltd,0.00529
6461-Zayo Bandwidth,0.00473
12956-Telefonica International Wholesale S,0.00396
6661-POST Luxembourg,0.00364
52320-GlobeNet Cabos Submarinos Colombia S,0.00357
15570-InterNAP Network Services U.K. Limit,0.00347
58057-TeleMontazh Ltd.,0.00274
37662-West Indian Ocean Cable Company,0.00265
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0022
30781-Jaguar Network SAS,0.00211
29075-Lost Oasis SARL,0.00211
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00201
8447-A1 Telekom Austria AG,0.00198
20764-CJSC RASCOM,0.00191
28917-LLC "TRC FIORD",0.00179
202984-Chernyshov Aleksandr Aleksandrovich,0.00179
8732-OJSC Comcor,0.00166
206610-Pindo S.a.,0.00157
24961-myLoc managed IT AG,0.00096
6830-Liberty Global Operations B.V.,0.00091
9002-RETN Limited,0.0007
36086-Telx,0.00051
1836-green.ch AG,0.00046
3303-Swisscom (Switzerland) Ltd,0.00045
13030-Init7 (Switzerland) Ltd.,0.00028
8468-ENTANET International Limited,0.00026
25091-IP-Max SA,0.00026
2497-Internet Initiative Japan Inc.,0.00026
12859-BIT BV,0.00026
8218-Zayo France SAS,0.00019
7473-Singapore Telecommunications Ltd,0.00019
3267-State Institute of Information Techn,0.00019
2603-NORDUnet,0.00019
12389-PJSC Rostelecom,0.00019
11164-Internet2,0.00019
20485-Closed Joint Stock Company TransTele,0.00016
701-MCI Communications Services Inc. d/b,0.00013
6777-Amsterdam Internet Exchange B.V.,0.00013
4230-CLARO S.A.,0.00013
3741-Internet Solutions,0.00013
21320-GEANT Limited,0.00013
15412-Reliance Globalcom Limited,0.00013
3216-PJSC "Vimpelcom",0.0001
99999-TD,0.0
37468-Angola Cables,6e-05
33891-Core-Backbone GmbH,6e-05
3320-Deutsche Telekom AG,6e-05
286-KPN B.V.,6e-05
2852-CESNET z.s.p.o.,6e-05
2516-KDDI CORPORATION,6e-05
1916-Associa̤̣o Rede Nacional de En,6e-05
13193-Nerim SAS,6e-05
