Transit (row) / Origin (Column) ASN-ASNAME,99999-TO
9241-Fiji International Telecomunications,0.34549
174-Cogent Communications,0.24203
132579-Tonga Cable Limited,0.16258
45355-Digicel Fiji Limited,0.14226
4648-Spark New Zealand Trading Ltd.,0.12921
132528-Digicel Australia Pty Ltd,0.09145
20473-Choopa LLC,0.05875
2914-NTT America Inc.,0.05709
4826-Vocus Communications,0.04723
3356-Level 3 Communications Inc.,0.04419
4637-Telstra Global - Customer AS Number,0.02957
1299-Telia Company AB,0.02859
12180-Internap Network Services Corporatio,0.02472
6939-Hurricane Electric Inc.,0.02067
6461-Zayo Bandwidth,0.02047
12182-Internap Network Services Corporatio,0.01254
58057-TeleMontazh Ltd.,0.01048
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00846
24961-myLoc managed IT AG,0.0037
206610-Pindo S.a.,0.00256
7922-Comcast Cable Communications LLC,0.00209
36086-Telx,0.00197
1836-green.ch AG,0.00176
15412-Reliance Globalcom Limited,0.00111
13030-Init7 (Switzerland) Ltd.,0.00109
3257-GTT Communications Inc.,0.00088
63956-Colocation Australia Pty Ltd,0.00025
3320-Deutsche Telekom AG,0.00025
99999-TO,0.0
